"Begin","End","Event-no-links","Event_link_1","details_link","Theater","Source","Source URL"
"1914-08-05",,"Montenegro declares war on Austria-Hungary.","http://en.wikipedia.org/wiki/Montenegro",,"Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-05",,"The Ottoman Empire closes the Dardanelles.","http://en.wikipedia.org/wiki/Ottoman_Empire",,"Middle Eastern","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-06",,"Austria-Hungary declares war on Russia.","http://en.wikipedia.org/wiki/Austria-Hungary",,"Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-06",,"Serbia declares war on Germany.","http://en.wikipedia.org/wiki/Serbia",,"Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-07","1914-09-13","Battle of the Frontiers. The Germans obtain a victory against the British Expeditionary Force and France's Fifth Army.","http://en.wikipedia.org/wiki/Battle_of_the_Frontiers",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-07","1914-08-10","Battle of Mulhouse, a phase of the Battle of the Frontiers.","http://en.wikipedia.org/wiki/Battle_of_Mulhouse",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-07",,"The British Expeditionary Force arrives in France.","http://en.wikipedia.org/wiki/British_Expeditionary_Force_(World_War_I)","http://en.wikipedia.org/wiki/British_Expeditionary_Force_(World_War_I)","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-09",,"Montenegro declares war on Germany.","http://en.wikipedia.org/wiki/Germany",,"Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-09",,"The Togoland Campaign begins.","http://en.wikipedia.org/wiki/Togoland_Campaign",,"African","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-11",,"France declares war on Austria-Hungary.",,,"Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-12",,"Battle of Haelen, a phase of the Battle of the Frontiers.","http://en.wikipedia.org/wiki/Battle_of_Haelen",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-12",,"The United Kingdom declares war on Austria-Hungary.",,,"Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-14","1914-08-25","Battle of Lorraine, a phase of the Battle of the Frontiers.","http://en.wikipedia.org/wiki/Battle_of_Lorraine",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-16","1914-08-19","The Serbs defeat the Austro-Hungarians at the Battle of Cer.","http://en.wikipedia.org/wiki/Battle_of_Cer","http://en.wikipedia.org/wiki/Battle_of_Cer","Balkan","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-17",,"The Russian army enters East Prussia. Battle of Stalluponen.","http://en.wikipedia.org/wiki/East_Prussia","http://en.wikipedia.org/wiki/Battle_of_Stalluponen","Eastern","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-20",,"Battle of Morhange, a phase of the Battle of Lorraine.","http://en.wikipedia.org/wiki/Battle_of_Morhange",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-20",,"Battle of Sarrebourg, a phase of the Battle of Lorraine.","http://en.wikipedia.org/wiki/Battle_of_Sarrebourg",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-20",,"The Germans occupy Brussels.","http://en.wikipedia.org/wiki/Brussels",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-20",,"The Germans attack the Russians in East Prussia, the Battle of Gumbinnen. The attack is a failure in addition to being a deviation from the Schlieffen Plan.",,"http://en.wikipedia.org/wiki/Battle_of_Gumbinnen","Eastern","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-21","1914-08-23","Battle of the Ardennes, a phase of the Battle of the Frontiers.","http://en.wikipedia.org/wiki/Battle_of_the_Ardennes",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-21",,"Battle of Charleroi, a phase of the Battle of the Frontiers.","http://en.wikipedia.org/wiki/Battle_of_Charleroi",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-22",,"Austria-Hungary declares war on Belgium.",,,"Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-23","1914-09-11","Battle of Lemberg. The Russians capture Lviv.","http://en.wikipedia.org/wiki/Battle_of_Lemberg_(1914)","http://en.wikipedia.org/wiki/Battle_of_Galicia","Eastern","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-23","1914-08-30","Battle of Tannenberg: the Russian army undergoes a heavy defeat by the Germans.",,"http://en.wikipedia.org/wiki/Battle_of_Tannenberg_(1914)","Eastern","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-23","1914-08-25","Battle of Kraśnik, a phase of the Battle of Lemberg. The Austro-Hungarian First Army defeats the Russian Fourth Army.","http://en.wikipedia.org/wiki/Battle_of_Kraśnik","http://en.wikipedia.org/wiki/Battle_of_Kraśnik","Eastern","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-23",,"Battle of Mons, a phase of the Battle of the Frontiers.","http://en.wikipedia.org/wiki/Battle_of_Mons",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-23",,"Japan declares war on Germany.","http://en.wikipedia.org/wiki/Japan","http://en.wikipedia.org/wiki/Japan_during_World_War_I#Events_of_1914","Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-24","1914-09-28","The Allied Great Retreat to the River Marne.","http://en.wikipedia.org/wiki/Great_Retreat",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-24","1914-09-07","The Germans besiege and capture the Maubeuge Fortress.",,"http://en.wikipedia.org/wiki/Siege_of_Maubeuge","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-24",,"Action of Elouges.","http://en.wikipedia.org/wiki/Action_of_Elouges",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-24",,"Battle of the Mortagne, a phase of the Battle of Lorraine.","http://en.wikipedia.org/wiki/Battle_of_the_Mortagne",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-25",,"Japan declares war on Austria-Hungary.",,,"Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-26","1914-09-02","Battle of Komarow, part of the Battle of Lemberg.","http://en.wikipedia.org/wiki/Battle_of_Komarow_(1914)","http://en.wikipedia.org/wiki/Battle_of_Komarow_(1914)","Eastern","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-26","1914-08-30","Battle of Gnila Lipa, a phase of the Battle of Lemberg.","http://en.wikipedia.org/wiki/Battle_of_Gnila_Lipa",,"Eastern","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-26","1914-08-27","Battle of Le Cateau. Allied retreat.","http://en.wikipedia.org/wiki/Battle_of_Le_Cateau","http://en.wikipedia.org/wiki/Battle_of_Le_Cateau","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-26",,"Battle of Le Grand Fayt.","http://en.wikipedia.org/wiki/Battle_of_Le_Grand_Fayt",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-26",,"British and French forces conquer Togoland, a German protectorate in West Africa.","http://en.wikipedia.org/wiki/Togoland","http://en.wikipedia.org/wiki/Togoland_Campaign","African","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-27","1914-11-07","Battle of Tsingtao: British and Japanese forces capture the German-controlled port of Tsingtao in China.","http://en.wikipedia.org/wiki/Battle_of_Tsingtao","http://en.wikipedia.org/wiki/Battle_of_Tsingtao","Asian and Pacific","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-27",,"Battle of Étreux.","http://en.wikipedia.org/wiki/Battle_of_Étreux","http://en.wikipedia.org/wiki/Battle_of_Étreux","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-28",,"The Royal Navy wins the First Battle of Heligoland Bight, North Sea.","http://en.wikipedia.org/wiki/Heligoland_Bight","http://en.wikipedia.org/wiki/Battle_of_Heligoland_(1914)","Naval","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-29","1914-08-30","Battle of Saint Quentin, aka Battle of Guise. Orderly Allied retreat.","http://en.wikipedia.org/wiki/Battle_of_St._Quentin_(1914)","http://en.wikipedia.org/wiki/Battle_of_St._Quentin_(1914)","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-30",,"New Zealand occupies German Samoa (later Western Samoa).","http://en.wikipedia.org/wiki/New_Zealand","http://en.wikipedia.org/wiki/Fall_of_German_Samoa","Asian and Pacific","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-01",,"Action at Nery","http://en.wikipedia.org/wiki/Action_at_Nery","http://en.wikipedia.org/wiki/Action_at_Néry","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-02","1914-09-11","Austro-Hungarian defeat at the Battle of Rava Russka, a phase of the Battle of Lemberg.","http://en.wikipedia.org/wiki/Battle_of_Rava_Russka","http://en.wikipedia.org/wiki/Battle_of_Rava_Russka","Eastern","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-04","1914-09-13","Battle of Grand Couronne, a phase of the Battle of the Frontiers.","http://en.wikipedia.org/wiki/Battle_of_Grand_Couronne",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-05","1914-09-12","First Battle of the Marne. The German advance on Paris is halted, marking the failure of the Schlieffen Plan.","http://en.wikipedia.org/wiki/First_Battle_of_the_Marne","http://en.wikipedia.org/wiki/First_Battle_of_the_Marne","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-05",,"Battle of the Ourcq, a phase of the First Battle of the Marne.","http://en.wikipedia.org/wiki/Battle_of_the_Ourcq",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-05",,"Battle of the Two Morins.","http://en.wikipedia.org/wiki/Battle_of_the_Two_Morins",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-06","1914-10-04","Battle of Drina.","http://en.wikipedia.org/wiki/Battle_of_Drina",,"Balkan","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-06","1914-09-12","Battle of the Marshes of Saint-Gond, a phase of the First Battle of the Marne.","http://en.wikipedia.org/wiki/Battle_of_the_Marshes_of_Saint-Gond",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-06",,"Battle of Revigny, a phase of the First Battle of the Marne.","http://en.wikipedia.org/wiki/Battle_of_Revigny",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-06",,"Battle of Vitry, a phase of the First Battle of the Marne.","http://en.wikipedia.org/wiki/Battle_of_Vitry",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-07","1914-09-14","First Battle of the Masurian Lakes: The Russian Army of the Neman withdraws from East Prussia with heavy casualties.","http://en.wikipedia.org/wiki/First_Battle_of_the_Masurian_Lakes","http://en.wikipedia.org/wiki/First_Battle_of_the_Masurian_Lakes","Eastern","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-09",,"Theobald von Bethmann Hollweg lays out Germany's war aims.","http://en.wikipedia.org/wiki/Theobald_von_Bethmann_Hollweg","http://en.wikipedia.org/wiki/Septemberprogramm","Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-11",,"Australian forces occupy German New Guinea.","http://en.wikipedia.org/wiki/New_Guinea","http://en.wikipedia.org/wiki/Australian_Naval_and_Military_Expeditionary_Force","Asian and Pacific","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-13","1914-09-28","The First Battle of the Aisne ends in a substantial draw. The Race to the Sea begins.","http://en.wikipedia.org/wiki/First_Battle_of_the_Aisne","http://en.wikipedia.org/wiki/First_Battle_of_the_Aisne","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-13",,"Troops from South Africa begin invading German South-West Africa.","http://en.wikipedia.org/wiki/South_Africa","http://en.wikipedia.org/wiki/South-West_Africa_Campaign","African","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-14",,"Erich von Falkenhayn replaces Helmuth von Moltke the Younger as German Chief of Staff.","http://en.wikipedia.org/wiki/Erich_von_Falkenhayn","http://en.wikipedia.org/wiki/Erich_von_Falkenhayn","Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-19","1914-10-11","Battle of Flirey","http://en.wikipedia.org/wiki/Battle_of_Flirey",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-20",,"Battle of Zanzibar, German naval victory.","http://en.wikipedia.org/wiki/Battle_of_Zanzibar",,"African","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-22","1914-09-26","First Battle of Picardy.","http://en.wikipedia.org/wiki/First_Battle_of_Picardy",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-24",,"The Siege of Przemyśl begins","http://en.wikipedia.org/wiki/Siege_of_Przemyśl","http://en.wikipedia.org/wiki/Siege_of_Przemyśl","Eastern","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-25","1914-09-29","First Battle of Albert","http://en.wikipedia.org/wiki/Battle_of_Albert_(1914)","http://en.wikipedia.org/wiki/Battle_of_Albert_(1914)","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-28","1914-10-10","The Germans besiege and capture Antwerp, Belgium.","http://en.wikipedia.org/wiki/Antwerp","http://en.wikipedia.org/wiki/Siege_of_Antwerp_(1914)","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-09-29","1914-10-31","Battle of the Vistula River, aka Battle of Warsaw.","http://en.wikipedia.org/wiki/Battle_of_the_Vistula_River","http://en.wikipedia.org/wiki/Battle_of_the_Vistula_River","Eastern","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-10-01","1915-07-11","Battle of Rufiji Delta, German cruiser Königsberg destroyed.","http://en.wikipedia.org/wiki/Battle_of_Rufiji_Delta",,"African","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-10-01","1914-10-04","First Battle of Arras.",,"http://en.wikipedia.org/wiki/Battle_of_Arras_(1914)","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-10-09","1914-11-01","Central powers control Belgrade.",,"http://en.wikipedia.org/wiki/Belgrade#World_War_I_and_the_Interbellum","Balkan","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-10-10","1914-11-02","Battle of La Bassee.","http://en.wikipedia.org/wiki/Battle_of_La_Bassee",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-10-12","1914-11-02","First Battle of Messines.",,"http://en.wikipedia.org/wiki/Battle_of_Messines_(1914)","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-10-13","1914-11-02","Battle of Armentieres.","http://en.wikipedia.org/wiki/Battle_of_Armentieres",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-10-16","1914-10-31","Battle of the Yser. French and Belgian forces secure the coastline of Belgium.","http://en.wikipedia.org/wiki/Battle_of_the_Yser","http://en.wikipedia.org/wiki/Battle_of_the_Yser","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-10-19","1914-11-22","The First Battle of Ypres ends the Race to the Sea. The Germans are prevented from reaching Calais and Dunkirk.","http://en.wikipedia.org/wiki/First_Battle_of_Ypres","http://en.wikipedia.org/wiki/First_Battle_of_Ypres","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-11-01",,"Battle of Coronel. Von Spee's German cruiser squadron defeats a Royal Navy squadron under Christopher Cradock.","http://en.wikipedia.org/wiki/Battle_of_Coronel","http://en.wikipedia.org/wiki/Battle_of_Coronel","Naval","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-11-01",,"Russia declares war on the Ottoman Empire.","http://en.wikipedia.org/wiki/Russia",,"Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-11-02","1914-11-16","Bergmann Offensive, first military engagement in the Caucuses of the First World War.","http://en.wikipedia.org/wiki/Bergmann_Offensive",,"Caucasian","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-11-02",,"The United Kingdom begins the naval blockade of Germany.","http://en.wikipedia.org/wiki/United_Kingdom","http://en.wikipedia.org/wiki/First_Battle_of_the_Atlantic","Naval","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-11-03","1914-11-05","Von Lettow-Vorbeck's German colonial forces defeat the British at the Battle of Tanga, German East Africa.","http://en.wikipedia.org/wiki/Battle_of_Tanga","http://en.wikipedia.org/wiki/Battle_of_Tanga","African","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-11-03",,"Battle of Kilimanjaro.","http://en.wikipedia.org/wiki/Battle_of_Kilimanjaro",,"African","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-11-03",,"Montenegro declares war on the Ottoman Empire.","http://en.wikipedia.org/wiki/Montenegro",,"Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-11-05",,"France and the United Kingdom declare war on the Ottoman Empire.",,,"Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-11-06",,"Fao Landing, British and Indians besiege the fortress at Fao.","http://en.wikipedia.org/wiki/Fao_Landing",,"Middle Eastern","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-11-09",,"Battle of Cocos, northeast Indian Ocean. The Australian cruiser Sydney destroys the German cruiser Emden.","http://en.wikipedia.org/wiki/Battle_of_Cocos","http://en.wikipedia.org/wiki/Battle_of_Cocos","Naval","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-11-11","1914-12-06","Battle of Łódź (aka Silesian Offensive).","http://en.wikipedia.org/wiki/Battle_of_Łódź_(1914)","http://en.wikipedia.org/wiki/Battle_of_Łódź_(1914)","Eastern","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-11-11","1914-11-21","Battle of Basra.",,"http://en.wikipedia.org/wiki/Battle_of_Basra_(1914)","Middle Eastern","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-11-11",,"Sultan Mehmed V declares Jihad on the Allies.","http://en.wikipedia.org/wiki/Sultan_Mehmed_V","http://en.wikipedia.org/wiki/Sultan_Mehmed_V#Reign","Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-11-16","1914-12-15","Battle of Kolubara, Austro-Hungarians leave Serbia.","http://en.wikipedia.org/wiki/Battle_of_Kolubara",,"Balkan","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-12-01","1915-01-01","First Battle of Artois.","http://en.wikipedia.org/wiki/First_Battle_of_Artois",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-12-01","1914-12-13","Battle of Limanowa.","http://en.wikipedia.org/wiki/Battle_of_Limanowa",,"Eastern","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-12-03","1914-12-09","Battle of Qurna.","http://en.wikipedia.org/wiki/Battle_of_Qurna",,"Middle Eastern","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-12-08",,"Battle of the Falklands. Von Spee's German cruiser squadron is defeated by the Royal Navy.","http://en.wikipedia.org/wiki/Battle_of_the_Falklands","http://en.wikipedia.org/wiki/Battle_of_the_Falkland_Islands","Naval","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-12-10",,"Hill 60 captured by the Germans.",,"http://en.wikipedia.org/wiki/Battle_of_Hill_60_(Western_Front)","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-12-16",,"The German fleet shells Scarborough and Hartlepool, England.","http://en.wikipedia.org/wiki/Scarborough,_North_Yorkshire","http://en.wikipedia.org/wiki/Hartlepool","Naval","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-12-18","1914-12-22","Battle of Givenchy.","http://en.wikipedia.org/wiki/Battle_of_Givenchy",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-12-20","1915-03-17","First Battle of Champagne.","http://en.wikipedia.org/wiki/First_Battle_of_Champagne",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-12-20",,"Fighting begins at Perthes.","http://en.wikipedia.org/wiki/Perthes,_Ardennes","http://en.wikipedia.org/wiki/First_Battle_of_Champagne","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-12-22","1915-01-02","The Russians win the Battle of Sarikamis, Caucasia.","http://en.wikipedia.org/wiki/Battle_of_Sarikamis","http://en.wikipedia.org/wiki/Battle_of_Sarikamis","Caucasian","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-12-22",,"Fighting begins at Noyon.","http://en.wikipedia.org/wiki/Noyon","http://en.wikipedia.org/wiki/First_Battle_of_Champagne","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-12-24","1914-12-25","In some sectors of the Western Front, an unofficial Christmas truce is observed between German and British forces.","http://en.wikipedia.org/wiki/Christmas_truce","http://en.wikipedia.org/wiki/Christmas_truce","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-12-25","1915-01-18","Battle of Ardahan.","http://en.wikipedia.org/wiki/Battle_of_Ardahan",,"Caucasian","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1915-01-02","1915-04-12","The Russian offensive in the Carpathians begins. It will continue until April 12.","http://en.wikipedia.org/wiki/Carpathians",,"Eastern","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1915-01-18","1915-01-19","Battle of Jassin.","http://en.wikipedia.org/wiki/Battle_of_Jassin",,"African","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1915-01-19","1915-12-22","Battle of Hartmannswillerkopf, series of battles fought to control the peak.","http://en.wikipedia.org/wiki/Battle_of_Hartmannswillerkopf",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
